pkey,created_on,last_updated_on,version,batting_hand,style_batting,date_of_birth,place_of_birth,bowling_hand,style_bowling,bowling_type,country,fielding_pos,first_name,url_img,last_name,middle_name,playing_role,short_name,src_id,url_thumb
17,"2021-02-14 23:31:26",NULL,0,LEFT,"Left Hand Bat",1992-03-13,,LEFT,"Left Arm Fast",FAST,in,NULL,"Kulwant Khejroliya",,,,,"Kulwant Khejroliya",90754,
18,"2021-02-14 23:31:26",NULL,0,RIGHT,"Right Hand Bat",1996-11-08,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Himmat Singh",,,,,"Himmat Singh",90753,
19,"2021-02-14 23:31:27",NULL,0,RIGHT,"Right Hand Bat",1984-07-13,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,za,NULL,"Faf du Plessis",,,,,"F du Plessis",163,
20,"2021-02-14 23:31:27",NULL,0,RIGHT,"Right Hand Bat",1991-06-15,,NULL,,NULL,en,NULL,"Sam Billings",,,,,"Sam Billings",1943,
21,"2021-02-14 23:31:27",NULL,0,RIGHT,"Right Hand Bat",1984-02-17,,RIGHT,"Right Arm Medium",MEDIUM,za,NULL,"AB de Villiers",,,,,"AB de Villiers",165,
22,"2021-02-14 23:31:27",NULL,0,LEFT,"Left hand Bat",1986-11-27,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Suresh Raina",,,,,"SK Raina",121,
23,"2021-02-14 23:31:28",NULL,0,RIGHT,"Right Hand Bat",1981-07-07,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"MS Dhoni",,,,,"MS Dhoni",123,
24,"2021-02-14 23:31:28",NULL,0,LEFT,"Left hand Bat",1988-12-06,,LEFT,"Left Arm Orthodox",OFF_SPIN,in,NULL,"Ravindra Jadeja",,,,,"RA Jadeja",125,
25,"2021-02-14 23:31:28",NULL,0,LEFT,"Left hand Bat",1999-10-05,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Washington Sundar",,,,,"Washington Sundar",1101,
26,"2021-02-14 23:31:28",NULL,0,LEFT,"Left Hand Bat",1993-01-06,,LEFT,"Left Arm Orthodox",OFF_SPIN,in,NULL,"Pawan Negi",,,,,"Pawan Negi",800,
27,"2021-02-14 23:31:29",NULL,0,RIGHT,"Right Hand Bat",1985-09-23,Guntur,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Ambati Rayudu",,,,,"AT Rayudu",603,
28,"2021-02-14 23:31:29",NULL,0,RIGHT,"Right Hand Bat",1991-02-15,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Milind Kumar",,,,,"Milind Kumar",54569,
29,"2021-02-14 23:31:29",NULL,0,RIGHT,"Right Hand Bat",1989-08-16,,RIGHT,"Right Arm Medium",MEDIUM,au,NULL,"Marcus Stoinis",,,,,"MP Stoinis",43482,
30,"2021-02-14 23:31:30",NULL,0,RIGHT,"Right Hand Bat",1980-07-03,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Harbhajan Singh",,,,,"Harbhajan Singh",605,
31,"2021-02-14 23:31:30",NULL,0,RIGHT,"Right Hand Bat",1994-11-05,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Monu Kumar",,,,,"Monu Kumar",60090,
32,"2021-02-14 23:31:30",NULL,0,RIGHT,"Right Hand Bat",1994-03-13,,RIGHT,"Right Arm Medium Fast",MEDIUM_FAST,in,NULL,"Mohammed Siraj",,,,,"Mohammed Siraj",90381,
33,"2021-02-14 23:31:30",NULL,0,RIGHT,"Right Hand Bat",1993-05-10,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Akshdeep Nath",,,,,"Akshdeep Nath",54491,
34,"2021-02-14 23:31:31",NULL,0,RIGHT,"Right Hand Bat",1983-06-27,,RIGHT,"Right Arm Fast",FAST,za,NULL,"Dale Steyn",,,,,"DW Steyn",175,
35,"2021-02-14 23:31:31",NULL,0,LEFT,"Left Hand Bat",1993-06-26,,RIGHT,"Right Arm Fast Medium",FAST_MEDIUM,in,NULL,"Shivam Dube",,,,,"Shivam Dube",58733,
36,"2021-02-14 23:31:31",NULL,0,RIGHT,"Right Hand Bat",1979-03-27,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,za,NULL,"Imran Tahir",,,,,"Imran Tahir",177,
37,"2021-02-14 23:31:32",NULL,0,RIGHT,"Right Hand Bat",1987-10-25,,RIGHT,"Right Arm Fast",FAST,in,NULL,"Umesh Yadav",,,,,"Umesh Yadav",133,
38,"2021-02-14 23:31:32",NULL,0,RIGHT,"Right Hand Bat",1988-09-18,,RIGHT,"Right Arm Fast Medium",FAST_MEDIUM,in,NULL,"Mohit Sharma",,,,,"Mohit Sharma",135,
39,"2021-02-14 23:31:32",NULL,0,RIGHT,"Right Hand Bat",1990-07-23,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,in,NULL,"Yuzvendra Chahal",,,,,"YS Chahal",654,
40,"2021-02-14 23:31:33",NULL,0,RIGHT,"Right Hand Bat",1991-10-16,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Shardul Thakur",,,,,"SN Thakur",810,
41,"2021-02-14 23:31:33",NULL,0,RIGHT,"Right Hand Bat",1983-10-07,,RIGHT,"Right Arm Medium Fast",MEDIUM_FAST,wi,NULL,"Dwayne Bravo",,,,,"DJ Bravo",614,
42,"2021-02-14 23:31:33",NULL,0,RIGHT,"Right Hand Bat",1981-06-17,,RIGHT,"Right Arm Fast Medium",FAST_MEDIUM,au,NULL,"Shane Watson",,,,,"SR Watson",75,
43,"2021-02-14 23:31:33",NULL,0,RIGHT,"Right Hand Bat",1995-12-24,,NULL,,NULL,in,NULL,"Narayan Jagadeesan",,,,,"Narayan Jagadeesan",90050,
44,"2021-02-14 23:31:34",NULL,0,LEFT,"Left hand Bat",1996-12-26,,NULL,,NULL,wi,NULL,"Shimron Hetmyer",,,,,"Shimron Hetmyer",1204,
45,"2021-02-14 23:31:34",NULL,0,LEFT,"Left hand Bat",1987-10-23,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,in,NULL,"Karn Sharma",,,,,"KV Sharma",663,
46,"2021-02-14 23:31:34",NULL,0,RIGHT,"Right Hand Bat",1985-03-26,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Kedar Jadhav",,,,,"Kedar Jadhav",621,
47,"2021-02-14 23:31:34",NULL,0,LEFT,"Left hand Bat",1985-03-09,,NULL,,NULL,in,NULL,"Parthiv Patel",,,,,"Parthiv Patel",700,
48,"2021-02-14 23:31:35",NULL,0,RIGHT,"Right Hand Bat",1987-10-11,,RIGHT,"Right Arm Fast Medium",FAST_MEDIUM,au,NULL,"Nathan Coulter-Nile",,,,,"Nathan Coulter-Nile",623,
49,"2021-02-14 23:31:35",NULL,0,RIGHT,"Right Hand Bat",1996-03-29,,RIGHT,"Right Arm Fast",FAST,za,NULL,"Lungi Ngidi",,,,,"L Ngidi",46131,
50,"2021-02-14 23:31:35",NULL,0,LEFT,"Left hand Bat",2000-01-07,"Edapal, Kerala",RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Devdutt Padikkal",,,,Lonf-Off,"D Padikkal",90968,
51,"2021-02-14 23:31:36",NULL,0,LEFT,"Left hand Bat",1992-02-05,,LEFT,"Left Arm Orthodox",OFF_SPIN,nz,NULL,"Mitchell Santner",,,,,"Mitchell Santner",1923,
52,"2021-02-14 23:31:36",NULL,0,RIGHT,"Right Hand Bat",1988-12-11,,RIGHT,"Right Arm Fast",FAST,nz,NULL,"Tim Southee",,,,,"Tim Southee",43,
53,"2021-02-14 23:31:39",NULL,0,RIGHT,"Right Hand Bat",1986-03-16,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,en,NULL,"Joe Denly",,,,,"Joe Denly",49613,
54,"2021-02-14 23:31:40",NULL,0,RIGHT,"Right Hand Bat",1989-09-26,,RIGHT,"Right Arm Medium",MEDIUM,en,NULL,"Jonny Bairstow",,,,,"JM Bairstow",44100,
55,"2021-02-14 23:31:40",NULL,0,RIGHT,"Right Hand Bat",1986-10-25,,LEFT,"Left Arm Fast Medium",FAST_MEDIUM,en,NULL,"Harry Gurney",,,,,"HF Gurney",49513,
56,"2021-02-14 23:31:40",NULL,0,RIGHT,"Right Hand Bat",1986-09-30,,NULL,,NULL,nz,NULL,"Martin Guptill",,,,,"Martin Guptill",27,
57,"2021-02-14 23:31:40",NULL,0,RIGHT,"Right Hand Bat",1991-04-04,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Sandeep Warrier",,,,,"S Sandeep Warrier",54291,
58,"2021-02-14 23:31:41",NULL,0,RIGHT,"Right Hand Bat",1993-11-16,,RIGHT,"Right Arm Fast",FAST,za,NULL,"Anrich Nortje",,,,,"A Nortje",57187,
59,"2021-02-14 23:31:41",NULL,0,LEFT,"Left hand Bat",1991-05-27,,LEFT,"Left Arm Medium",MEDIUM,in,NULL,"T Natarajan",,,,,"T Natarajan",54475,
60,"2021-02-14 23:31:41",NULL,0,LEFT,"Left hand Bat",1993-12-27,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Nitish Rana",,,,,"N Rana",55288,
61,"2021-02-14 23:31:42",NULL,0,RIGHT,"Right Hand Bat",1985-11-11,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Robin Uthappa",,,,,"RV Uthappa",595,
62,"2021-02-14 23:31:42",NULL,0,RIGHT,"Right Hand Bat",1989-09-10,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Manish Pandey",,,,,"MK Pandey",597,
63,"2021-02-14 23:31:42",NULL,0,RIGHT,"Right Hand Bat",1998-09-20,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,af,NULL,"Rashid Khan",,,,,"Rashid Khan",1157,
64,"2021-02-14 23:31:42",NULL,0,LEFT,"Left hand Bat",1994-12-14,,LEFT,"Left Arm Wrist Spin",NULL,in,NULL,"Kuldeep Yadav",,,,,"KL Yadav",775,
65,"2021-02-14 23:31:43",NULL,0,RIGHT,"Right Hand Bat",1982-11-17,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Yusuf Pathan",,,,,"YK Pathan",599,
66,"2021-02-14 23:31:43",NULL,0,RIGHT,"Right Hand Bat",1990-02-05,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Bhuvneshwar Kumar",,,,,"B Kumar",434,
67,"2021-02-14 23:31:43",NULL,0,RIGHT,"Right Hand Bat",1989-08-12,,LEFT,"Left Arm Orthodox",OFF_SPIN,in,NULL,"Shahbaz Nadeem",,,,,"S Nadeem",754,
68,"2021-02-14 23:31:44",NULL,0,RIGHT,"Right Hand Bat",1984-10-24,,NULL,,NULL,in,NULL,"Wriddhiman Saha",,,,,"Wriddhiman Saha",633,
69,"2021-02-14 23:31:44",NULL,0,RIGHT,"Right Hand Bat",1988-07-18,,RIGHT,"Right Arm Fast",FAST,wi,NULL,"Carlos Brathwaite",,,,,"Carlos Brathwaite",1939,
70,"2021-02-14 23:31:44",NULL,0,RIGHT,"Right Hand Bat",1999-12-28,,RIGHT,"Right Arm Fast",FAST,in,NULL,"Kamlesh Nagarkoti",,,,,"KL Nagarkoti",90736,
71,"2021-02-14 23:31:44",NULL,0,RIGHT,"Right Hand Bat",1993-05-18,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Sandeep Sharma",,,,,"Sandeep Sharma",637,
72,"2021-02-14 23:31:45",NULL,0,LEFT,"Left hand Bat",1986-10-27,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,au,NULL,"David Warner",,,,,"David Warner",71,
73,"2021-02-14 23:31:45",NULL,0,RIGHT,"Right Hand Bat",1993-09-11,,RIGHT,"Right Arm Fast Medium",FAST_MEDIUM,in,NULL,"Basil Thampi",,,,,"Basil Thampi",53964,
74,"2021-02-14 23:31:45",NULL,0,LEFT,"Left Hand Bat",1994-11-04,,RIGHT,"Right Arm Fast",FAST,au,NULL,"Billy Stanlake",,,,,"Billy Stanlake",43592,
75,"2021-02-14 23:31:45",NULL,0,RIGHT,"Right Hand Bat",1985-01-01,,RIGHT,"Right Arm Off Break",OFF_SPIN,af,NULL,"Mohammad Nabi",,,,,"Mohammad Nabi",319,
76,"2021-02-14 23:31:46",NULL,0,LEFT,"Left hand Bat",2000-09-04,"Amritsar, Punjab",LEFT,"Left Arm Orthodox",OFF_SPIN,in,NULL,"Abhishek Sharma",,,,,"Abhishek Sharma",90738,
77,"2021-02-14 23:31:46",NULL,0,LEFT,"Left hand Bat",1989-05-18,,NULL,,NULL,in,NULL,"Shreevats Goswami",,,,,"SP Goswami",53945,
78,"2021-02-14 23:31:46",NULL,0,RIGHT,"Right Hand Bat",1990-08-08,,RIGHT,"Right Arm Off Break",OFF_SPIN,nz,NULL,"Kane Williamson",,,,,"KS Williamson",31,
79,"2021-02-14 23:31:46",NULL,0,RIGHT,"Right Hand Bat",1999-09-08,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Shubman Gill",,,,,"Shubman Gill",90739,
80,"2021-02-14 23:31:47",NULL,0,RIGHT,"Right Hand Bat",1998-11-26,,RIGHT,"Right Arm Fast Medium",FAST_MEDIUM,in,NULL,"Shivam Mavi",,,,,"Shivam Mavi",93500,
81,"2021-02-14 23:31:47",NULL,0,RIGHT,"Right Hand Bat",1996-02-19,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Prasidh Krishna",,,,,"M Prasidh Krishna",90233,
82,"2021-02-14 23:31:47",NULL,0,LEFT,"Left Hand Bat",1998-02-20,,LEFT,"Left Arm Fast",FAST,in,NULL,"Prithviraj Yarra",,,,,"Prithviraj Yarra",93347,
83,"2021-02-14 23:31:47",NULL,0,RIGHT,"Right Hand Bat",1996-09-29,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,in,NULL,"Ricky Bhui",,,,,"RK Bhui",1099,
84,"2021-02-14 23:31:48",NULL,0,RIGHT,"Right Hand Bat",1990-04-10,,LEFT,"Left Arm Orthodox",OFF_SPIN,au,NULL,"Chris Lynn",,,,,"CA Lynn",43508,
85,"2021-02-14 23:31:48",NULL,0,RIGHT,"Right Hand Bat",1997-12-05,,LEFT,"Left Arm Medium",MEDIUM,in,NULL,"Khaleel Ahmed",,,,,"KK Ahmed",1106,
86,"2021-02-14 23:31:48",NULL,0,RIGHT,"Right Hand Bat",1994-11-09,,NULL,,NULL,in,NULL,"Nikhil Naik",,,,,"Nikhil Naik",55254,
87,"2021-02-14 23:31:49",NULL,0,RIGHT,"Right Hand Bat",1995-04-19,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Deepak Hooda",,,,,"DJ Hooda",641,
88,"2021-02-14 23:31:49",NULL,0,RIGHT,"Right Hand Bat",1994-12-07,,RIGHT,"Right Arm Fast Medium",FAST_MEDIUM,au,NULL,"Matt Kelly",,,,,"Matt Kelly",55898,
89,"2021-02-14 23:31:50",NULL,0,RIGHT,"Right Hand Bat",1988-10-27,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Shrikant Mundhe",,,,,"SS Mundhe",53511,
90,"2021-02-14 23:31:50",NULL,0,RIGHT,"Right Hand Bat",1988-04-29,,RIGHT,"Right Arm Fast",FAST,wi,NULL,"Andre Russell",,,,,"AD Russell",269,
91,"2021-02-14 23:31:50",NULL,0,LEFT,"Left hand Bat",1997-10-12,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Rinku Singh",,,,,"RK Singh",55676,
92,"2021-02-14 23:31:50",NULL,0,LEFT,"Left Hand Bat",1988-12-24,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,in,NULL,"Piyush Chawla",,,,,"Piyush Chawla",600,
93,"2021-02-14 23:31:51",NULL,0,LEFT,"Left hand Bat",1988-05-26,,RIGHT,"Right Arm Off Break",OFF_SPIN,wi,NULL,"Sunil Narine",,,,,"SP Narine",601,
94,"2021-02-14 23:31:51",NULL,0,LEFT,"Left Hand Bat",1987-03-24,,LEFT,"Left Arm Orthodox",OFF_SPIN,bd,NULL,"Shakib Al Hasan",,,,,"Shakib Al Hasan",348,
95,"2021-02-14 23:31:51",NULL,0,RIGHT,"Right Hand Bat",1994-04-13,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,in,NULL,"K.C Cariappa",,,,,"K.C Cariappa",648,
96,"2021-02-14 23:31:51",NULL,0,RIGHT,"Right Hand Bat",1991-06-13,,RIGHT,"Right Arm Fast",FAST,nz,NULL,"Lockie Ferguson",,,,,"LH Ferguson",16643,
97,"2021-02-14 23:31:52",NULL,0,RIGHT,"Right Hand Bat",1985-06-01,,NULL,,NULL,in,NULL,"Dinesh Karthik",,,,,"Dinesh Karthik",649,
98,"2021-02-14 23:31:52",NULL,0,RIGHT,"Right Hand Bat",1990-05-19,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Siddarth Kaul",,,,,"S Kaul",53914,
99,"2021-02-14 23:31:52",NULL,0,RIGHT,"Right Hand Bat",1991-01-26,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Vijay Shankar",,,,,"Vijay Shankar",49682,
100,"2021-02-14 23:31:56",NULL,0,RIGHT,"Right Hand Bat",1992-04-13,,RIGHT,"Right Arm Fast",FAST,nz,NULL,"Adam Milne",,,,,"Adam Milne",45,
101,"2021-02-14 23:31:56",NULL,0,RIGHT,"Right Hand Bat",1989-07-22,,LEFT,"Left Arm Fast Medium",FAST_MEDIUM,nz,NULL,"Trent Boult",,,,,"TA Boult",47,
102,"2021-02-14 23:31:57",NULL,0,RIGHT,"Right Hand Bat",1995-09-08,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Nathu Singh",,,,,"NB Singh",55682,
103,"2021-02-14 23:31:57",NULL,0,LEFT,"Left Hand Bat",1991-12-27,,NULL,,NULL,wi,NULL,"Evin Lewis",,,,,"Evin Lewis",1973,
104,"2021-02-14 23:31:57",NULL,0,RIGHT,"Right Hand Bat",1990-09-14,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Suryakumar Yadav",,,,,"SA Yadav",598,
105,"2021-02-14 23:31:57",NULL,0,LEFT,"Left Hand Bat",1986-06-11,,LEFT,"Left Arm Fast Medium",FAST_MEDIUM,nz,NULL,"Mitchell McClenaghan",,,,,"Mitchell McClenaghan",478,
106,"2021-02-14 23:31:58",NULL,0,LEFT,"Left hand Bat",1992-12-17,,NULL,,NULL,za,NULL,"Quinton de Kock",,,,,"Q de Kock",159,
107,"2021-02-14 23:31:58",NULL,0,RIGHT,"Right Hand Bat",1987-04-30,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Rohit Sharma",,,,,"RG Sharma",115,
108,"2021-02-14 23:31:58",NULL,0,RIGHT,"Right Hand Bat",1996-11-20,,RIGHT,"Right Arm Fast",FAST,wi,NULL,"Alzarri Joseph",,,,,"Alzarri Joseph",1211,
109,"2021-02-14 23:31:58",NULL,0,LEFT,"Left hand Bat",1994-01-20,"Nadiad, Gujarat",LEFT,"Left Arm Orthodox",OFF_SPIN,in,NULL,"Axar Patel",,,,,"Axar Patel",634,
110,"2021-02-14 23:31:59",NULL,0,LEFT,"Left hand Bat",1985-12-05,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Shikhar Dhawan",,,,,"S Dhawan",117,
111,"2021-02-14 23:31:59",NULL,0,RIGHT,"Right Hand Bat",1992-10-27,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Bandaru Ayyappa",,,,,"B Ayyappa",53869,
112,"2021-02-14 23:31:59",NULL,0,RIGHT,"Right Hand Bat",1996-12-13,,RIGHT,"Right Arm Medium Fast",MEDIUM_FAST,in,NULL,"Avesh Khan",,,,,"Avesh Khan",1104,
113,"2021-02-14 23:31:59",NULL,0,RIGHT,"Right Hand Bat",1987-04-30,,RIGHT,"Right Arm Fast",FAST,za,NULL,"Chris Morris",,,,,"Chris Morris",642,
114,"2021-02-14 23:32:00",NULL,0,RIGHT,"Right Hand Bat",1993-10-13,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Hanuma Vihari",,,,,"Hanuma Vihari",764,
115,"2021-02-14 23:32:00",NULL,0,RIGHT,"Right Hand Bat",1999-11-09,"Thane, Maharashtra",RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Prithvi Shaw",,,,,"PP Shaw",90624,
116,"2021-02-14 23:32:00",NULL,0,RIGHT,"Right Hand Bat",1987-11-07,,NULL,,NULL,in,NULL,"Aditya Tare",,,,,"AP Tare",602,
117,"2021-02-14 23:32:01",NULL,0,RIGHT,"Right Hand Bat",1987-05-12,,RIGHT,"Right Arm Medium",MEDIUM,wi,NULL,"Kieron Pollard",,,,,"Kieron Pollard",604,
118,"2021-02-14 23:32:01",NULL,0,RIGHT,"Right Hand Bat",1993-10-11,,RIGHT,"Right Arm Medium Fast",MEDIUM_FAST,in,NULL,"Hardik Pandya",,,,,"HH Pandya",727,
119,"2021-02-14 23:32:01",NULL,0,RIGHT,"Right Hand Bat",1993-12-06,,RIGHT,"Right Arm Fast Medium",FAST_MEDIUM,in,NULL,"Jasprit Bumrah",,,,,"JJ Bumrah",607,
120,"2021-02-14 23:32:01",NULL,0,RIGHT,"Right Hand Bat",2000-08-02,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,np,NULL,"Sandeep Lamichhane",,,,,"Sandeep Lamichhane",1080,
121,"2021-02-14 23:32:02",NULL,0,RIGHT,"Right Hand Bat",1983-08-28,,RIGHT,"Right Arm Fast",FAST,lk,NULL,"Lasith Malinga",,,,,"L Malinga",67,
122,"2021-02-14 23:32:02",NULL,0,LEFT,"Left hand Bat",1999-01-15,,LEFT,"Left Arm Orthodox",OFF_SPIN,in,NULL,"Manjot Kalra",,,,,"Manjot Kalra",93498,
123,"2021-02-14 23:32:03",NULL,0,RIGHT,"Right Hand Bat",1999-08-04,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,in,NULL,"Rahul Chahar",,,,,"RD Chahar",90465,
124,"2021-02-14 23:32:03",NULL,0,LEFT,"Left hand Bat",1985-07-03,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,za,NULL,"Colin Ingram",,,,,"CA Ingram",49739,
125,"2021-02-14 23:32:03",NULL,0,LEFT,"Left Hand Bat",1998-08-15,,RIGHT,"Right Arm Medium Fast",MEDIUM_FAST,wi,NULL,"Sherfane Rutherford",,,,,"Sherfane Rutherford",52153,
126,"2021-02-14 23:32:04",NULL,0,LEFT,"Left hand Bat",1995-05-25,,RIGHT,"Right Arm Fast",FAST,za,NULL,"Kagiso Rabada",,,,,"K Rabada",1953,
127,"2021-02-14 23:32:04",NULL,0,RIGHT,"Right Hand Bat",1990-11-23,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Harshal Patel",,,,,"HV Patel",652,
128,"2021-02-14 23:32:04",NULL,0,RIGHT,"Right Hand Bat",1990-01-22,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Jayant Yadav",,,,,"J Yadav",851,
129,"2021-02-14 23:32:04",NULL,0,LEFT,"Left Hand Bat",1990-06-08,,LEFT,"Left Arm Fast Medium",FAST_MEDIUM,za,NULL,"Beuran Hendricks",,,,,"Beuran Hendricks",855,
130,"2021-02-14 23:32:05",NULL,0,RIGHT,"Right Hand Bat",1986-12-15,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Jalaj Saxena",,,,,"Jalaj Saxena",53523,
131,"2021-02-14 23:32:05",NULL,0,LEFT,"Left hand Bat",1993-05-20,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,in,NULL,"Rahul Tewatia",,,,,"R Tewatia",738,
132,"2021-02-14 23:32:05",NULL,0,LEFT,"Left hand Bat",1998-11-30,,LEFT,"Left Arm Orthodox",OFF_SPIN,in,NULL,"Anukul Roy",,,,,"AS Roy",90737,
133,"2021-02-14 23:32:05",NULL,0,RIGHT,"Right Hand Bat",1997-11-11,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,in,NULL,"Mayank Markande",,,,,"M Markande",93566,
134,"2021-02-14 23:32:06",NULL,0,RIGHT,"Right Hand Bat",1995-12-16,,NULL,,NULL,in,NULL,"Ankush Bains",,,,,"AK Bains",48315,
